dam_id,dam_name,capacity_mcm,c,b,source
id_070070,Afyadh Al-Talhah,0.748,0.0011692392921049946,1.6519672568792156,srtm_derived
id_070072,Shi'b Shadad,0.074,0.008881470770304272,1.5558517322403753,regi_multi
id_070074,Surum Al-Harajah,0.12156,0.16146959741627676,1.2206755539055687,srtm_derived
id_070075,Sarabah,1.0,0.0058872459579761074,1.5558517322403753,regi_multi
id_070076,Bahwan,0.12156,0.0015604936332578375,1.682296940888337,srtm_derived
id_070077,Tabab,0.09,0.010671869245606905,1.5558517322403753,regi_multi
id_070078,Anam,2.0,0.008836098519953874,1.5558517322403753,regi_multi
id_070079,Al-Musayriq,0.433,0.016902495599323556,1.412134799755591,srtm_derived
id_070080,Al-Ghurah,0.135,0.0035145684415257305,1.602216485540162,srtm_derived
id_070081,Maskah,0.411226,0.0033000272026983074,1.5566093104157492,srtm_derived
id_070082,Al-Madhah,4.25,0.0020154205961307892,1.5383461754251788,srtm_derived
id_070083,Haswah,0.02,0.01698503388996881,1.5558517322403753,regi_multi
id_070084,Subh,0.2297,0.006746970948726944,1.5558517322403753,regi_multi
id_070085,Tamniyah,0.3,0.0007185103011958507,1.7779935410752477,srtm_derived
id_070086,Al-Gha'il,0.2114,0.012339431892396443,1.5558517322403753,regi_multi
id_070087,Al-Da'fah,0.0719,0.013065133510303674,1.5558517322403753,regi_multi
id_070088,Halba,0.972976,0.0027940876513165313,1.7425693717212078,srtm_derived
id_070089,Al-Mawin,0.4,0.0007422176329102434,1.8162929143437552,srtm_derived
id_070090,Turayf,0.4553,0.00013062113953170637,1.9999856299331802,srtm_derived
id_070091,Ashran,1.5,0.002369923175676845,1.6542156826721175,srtm_derived
